Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA, se_AREA, t_AREA, est_FLOOR1, se_FLOOR1, t_FLOOR1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 958372.6233, 1942117.9563,         5.236461,         1.305054,         4.012447,        -0.047691,         0.025324,        -1.883192,         0.136759,         0.015440,         8.857396,         0.038631,         0.014979,         2.579079,        -0.102956,         0.021674,        -4.750168,         0.007774,         0.024489,         0.317436,        -1.191092,         0.686504,        -1.735012,         0.123311,         0.046760,         2.637106,        -2.939145,         1.436472,        -2.046086,         0.001016,         0.000789,         1.288047,         0.193723,         0.137473,         1.409176,        -0.123160,         0.054717,        -2.250865,         0.837740,         0.035978,        23.284817,        -0.014471,         0.039776,        -0.363826,         4.707487,         4.794236,        -0.086749,        -1.597887,         0.901379,         0.155780,         0.001125
    1, 2, 941780.2414, 1942553.3493,         5.412992,         1.574107,         3.438770,        -0.221655,         0.040895,        -5.420103,         0.137075,         0.022417,         6.114709,        -0.026022,         0.020052,        -1.297707,        -0.083213,         0.029909,        -2.782249,        -0.003332,         0.028494,        -0.116924,        -1.452339,         0.889611,        -1.632555,        -0.009066,         0.045113,        -0.200958,         2.552165,         1.727637,         1.477258,         0.003959,         0.002764,         1.432181,         0.426999,         0.225607,         1.892665,         0.039565,         0.069304,         0.570893,         0.793634,         0.075459,        10.517423,        -0.073975,         0.042900,        -1.724367,         4.491848,         4.524261,        -0.032413,        -0.679500,         0.881500,         0.348250,         0.000589
    2, 3, 956263.1394, 1942470.5298,         7.383332,         1.378091,         5.357652,        -0.132223,         0.027458,        -4.815430,         0.112095,         0.016688,         6.717138,        -0.015611,         0.016510,        -0.945557,        -0.037849,         0.030588,        -1.237363,        -0.022583,         0.026041,        -0.867233,        -2.437319,         0.713752,        -3.414799,        -0.039636,         0.039516,        -1.003031,        -6.591858,         1.208075,        -5.456499,         0.001448,         0.000919,         1.575016,        -0.030986,         0.175659,        -0.176400,        -0.046267,         0.069244,        -0.668172,         1.022162,         0.042920,        23.815521,        -0.073386,         0.032778,        -2.238896,         4.753583,         4.813774,        -0.060191,        -1.167023,         0.900139,         0.238055,         0.001016
    3, 4, 956247.1093, 1942495.7323,         7.465668,         1.383500,         5.396217,        -0.134675,         0.027617,        -4.876472,         0.111908,         0.016762,         6.676457,        -0.016013,         0.016527,        -0.968891,        -0.037238,         0.030725,        -1.211981,        -0.022359,         0.026127,        -0.855784,        -2.479532,         0.715564,        -3.465145,        -0.041559,         0.039754,        -1.045416,        -6.666195,         1.212620,        -5.497350,         0.001455,         0.000926,         1.571101,        -0.031910,         0.176786,        -0.180498,        -0.047323,         0.069750,        -0.678462,         1.022634,         0.043012,        23.775659,        -0.074024,         0.032864,        -2.252412,         4.748188,         4.851751,        -0.103563,        -1.958426,         0.899851,         0.199042,         0.002276
    4, 5, 951661.7375, 1943058.3575,         2.902957,         1.082138,         2.682613,        -0.183651,         0.027261,        -6.736862,         0.095216,         0.014262,         6.676336,        -0.021330,         0.015753,        -1.353966,        -0.057634,         0.024829,        -2.321184,        -0.025747,         0.020660,        -1.246188,         0.219107,         0.640782,         0.341937,        -0.020785,         0.032824,        -0.633222,        -2.785887,         1.302569,        -2.138764,         0.000891,         0.001657,         0.537812,         1.063805,         0.245056,         4.341078,         0.024144,         0.038746,         0.623133,         0.791467,         0.037959,        20.850479,        -0.019954,         0.025189,        -0.792189,         4.508467,         4.590979,        -0.082512,        -1.543959,         0.893651,         0.181946,         0.001266
    5, 6, 945855.2506, 1943263.4347,         0.993381,         1.125188,         0.882858,        -0.195936,         0.031454,        -6.229204,         0.117333,         0.017617,         6.660124,         0.041089,         0.016024,         2.564170,        -0.039665,         0.028560,        -1.388814,        -0.004369,         0.029010,        -0.150611,         1.507340,         0.699400,         2.155190,        -0.151538,         0.071028,        -2.133497,        -3.502492,         1.158836,        -3.022422,        -0.000671,         0.001648,        -0.407178,        -0.312006,         0.214868,        -1.452086,         0.085282,         0.045159,         1.888465,         0.896905,         0.048602,        18.454254,        -0.129722,         0.029730,        -4.363376,         4.021189,         4.182896,        -0.161707,        -2.943310,         0.894127,         0.135421,         0.003240
    6, 7, 953103.1538, 1943348.3149,         4.397578,         1.117457,         3.935346,        -0.194286,         0.024643,        -7.884144,         0.107034,         0.015318,         6.987538,        -0.012137,         0.017007,        -0.713662,        -0.069157,         0.025678,        -2.693238,        -0.033777,         0.021988,        -1.536141,        -0.895201,         0.637385,        -1.404489,         0.030798,         0.040217,         0.765791,        -5.425773,         1.379934,        -3.931908,         0.002913,         0.001482,         1.964803,         1.460050,         0.172155,         8.481028,         0.013071,         0.037764,         0.346127,         0.829780,         0.035895,        23.117134,        -0.024866,         0.023030,        -1.079725,         4.577492,         4.634188,        -0.056696,        -1.006121,         0.912856,         0.090452,         0.000240
    7, 8, 966299.3339, 1944525.5923,         3.324750,         0.899325,         3.696938,        -0.107546,         0.031253,        -3.441134,         0.109221,         0.014680,         7.440096,        -0.033382,         0.019719,        -1.692858,        -0.044533,         0.022956,        -1.939909,        -0.013188,         0.026504,        -0.497605,        -0.378358,         0.563162,        -0.671845,        -0.043070,         0.034434,        -1.250774,         0.360460,         0.315323,         1.143148,        -0.002303,         0.001104,        -2.085900,         0.004308,         0.032992,         0.130578,         0.218864,         0.040277,         5.434009,         0.787565,         0.045713,        17.228470,         0.036133,         0.064054,         0.564097,         4.526339,         4.588910,        -0.062571,        -1.114505,         0.921139,         0.097192,         0.000319
    8, 9, 959697.2476, 1944770.6249,         3.847948,         1.278354,         3.010080,        -0.121983,         0.027831,        -4.382999,         0.150057,         0.016895,         8.881879,        -0.009262,         0.015504,        -0.597390,        -0.077883,         0.020276,        -3.841158,         0.003057,         0.025815,         0.118436,        -0.717265,         0.697875,        -1.027785,         0.023352,         0.061083,         0.382299,         3.631083,         1.768925,         2.052706,        -0.004652,         0.000865,        -5.375012,         0.255347,         0.164936,         1.548152,         0.124460,         0.059155,         2.103953,         0.855398,         0.035146,        24.338466,        -0.020739,         0.032856,        -0.631214,         4.930032,         4.717622,         0.212410,         4.213289,         0.905609,         0.272015,         0.015838
    9, 10, 947937.8901, 1944856.5906,         4.908629,         1.134221,         4.327753,        -0.215720,         0.031839,        -6.775344,         0.092977,         0.016412,         5.665079,         0.022364,         0.019592,         1.141475,        -0.027596,         0.027034,        -1.020772,         0.000485,         0.028975,         0.016730,        -0.246086,         0.639123,        -0.385037,        -0.221339,         0.071460,        -3.097401,        -2.468892,         1.141639,        -2.162586,         0.000648,         0.001959,         0.330798,         0.117225,         0.207864,         0.563948,        -0.080580,         0.051348,        -1.569300,         0.834134,         0.039658,        21.033432,        -0.060502,         0.032643,        -1.853469,         4.322219,         4.417238,        -0.095019,        -1.820899,         0.901854,         0.220044,         0.002234
