Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA_1, se_AREA_1, t_AREA_1, est_FLOOR1_1, se_FLOOR1_1, t_FLOOR1_1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 962333.4335, 1943825.5937,         1.060173,         0.928335,         1.142016,        -0.023324,         0.028759,        -0.811023,         0.159869,         0.015041,        10.628924,        -0.034916,         0.016992,        -2.054824,        -0.045480,         0.023357,        -1.947190,        -0.018875,         0.030769,        -0.613445,         1.088517,         0.605757,         1.796954,        -0.023178,         0.045374,        -0.510815,        -0.892969,         0.350755,        -2.545851,        -0.005318,         0.001125,        -4.729561,        -0.046399,         0.044016,        -1.054135,         0.149739,         0.035653,         4.199935,         0.911975,         0.033303,        27.383778,         0.017213,         0.033242,         0.517808,         4.650676,         4.672659,        -0.021983,        -0.418935,         0.931045,         0.156169,         0.000064
    1, 2, 962576.2556, 1944199.8002,         1.658159,         0.972756,         1.704599,        -0.002407,         0.029933,        -0.080407,         0.143229,         0.015558,         9.205885,        -0.033874,         0.017478,        -1.938062,        -0.037629,         0.024840,        -1.514870,        -0.022103,         0.033354,        -0.662667,         0.697020,         0.633412,         1.100420,        -0.045911,         0.043870,        -1.046541,        -0.696914,         0.363662,        -1.916377,        -0.005823,         0.001250,        -4.658641,        -0.060151,         0.041315,        -1.455899,         0.166021,         0.035060,         4.735367,         0.921245,         0.035917,        25.649429,         0.015511,         0.034094,         0.454964,         5.091780,         5.125788,        -0.034008,        -0.673466,         0.935926,         0.218501,         0.000251
    2, 3, 961749.2586, 1942854.2381,         0.514849,         1.014831,         0.507325,        -0.061036,         0.030148,        -2.024534,         0.189438,         0.016121,        11.750892,        -0.023126,         0.016640,        -1.389773,        -0.061946,         0.021357,        -2.900532,        -0.015448,         0.029489,        -0.523858,         1.462389,         0.655371,         2.231391,         0.055863,         0.039404,         1.417682,        -1.157058,         0.392621,        -2.947007,        -0.003837,         0.000905,        -4.239788,         0.269227,         0.157380,         1.710685,         0.061683,         0.046118,         1.337522,         0.886773,         0.033017,        26.858082,         0.011768,         0.031774,         0.370372,         4.811799,         4.681708,         0.130091,         2.426344,         0.913205,         0.118995,         0.001577
    3, 4, 961493.89, 1942493.5085,         0.510715,         1.044057,         0.489164,        -0.074274,         0.029875,        -2.486190,         0.193347,         0.017003,        11.371497,        -0.016721,         0.016950,        -0.986512,        -0.065124,         0.021282,        -3.060028,        -0.011933,         0.030320,        -0.393580,         1.487909,         0.666045,         2.233946,         0.065294,         0.039103,         1.669795,        -1.182305,         0.453229,        -2.608623,        -0.003376,         0.000908,        -3.716431,         0.262415,         0.151804,         1.728648,         0.047260,         0.048862,         0.967199,         0.880958,         0.034405,        25.605393,         0.010540,         0.030750,         0.342772,         4.745413,         4.658284,         0.087129,         1.663379,         0.903950,         0.159127,         0.001038
    4, 5, 961233.2027, 1942230.3491,         0.671456,         1.069309,         0.627934,        -0.089221,         0.030772,        -2.899464,         0.197906,         0.018384,        10.764918,        -0.005084,         0.017438,        -0.291547,        -0.073034,         0.021562,        -3.387106,        -0.010093,         0.032239,        -0.313067,         1.422710,         0.675365,         2.106580,         0.069666,         0.041782,         1.667373,        -1.147064,         0.560703,        -2.045761,        -0.002908,         0.000943,        -3.084040,         0.280643,         0.155195,         1.808327,         0.030129,         0.053877,         0.559228,         0.878983,         0.036285,        24.224683,         0.008908,         0.030435,         0.292678,         4.879818,         4.776030,         0.103788,         2.099661,         0.897274,         0.251166,         0.002933
    5, 6, 961165.8318, 1943286.0279,         1.618661,         1.009140,         1.604000,        -0.087607,         0.035102,        -2.495813,         0.192377,         0.015876,        12.117377,         0.006772,         0.016058,         0.421749,        -0.083147,         0.021539,        -3.860288,        -0.015843,         0.028397,        -0.557907,         0.853273,         0.644972,         1.322961,         0.088202,         0.055993,         1.575235,        -1.428710,         0.610987,        -2.338365,        -0.001697,         0.000978,        -1.735511,         0.206854,         0.172830,         1.196863,        -0.010753,         0.056181,        -0.191401,         0.924706,         0.029918,        30.908412,         0.025741,         0.033510,         0.768165,         5.087482,         5.068484,         0.018998,         0.372351,         0.921742,         0.202222,         0.000070
    6, 7, 961313.2771, 1943305.3987,         1.334970,         1.007173,         1.325462,        -0.078935,         0.035526,        -2.221878,         0.191029,         0.015882,        12.027801,        -0.001613,         0.016277,        -0.099075,        -0.076413,         0.021774,        -3.509350,        -0.016527,         0.028696,        -0.575919,         0.997079,         0.649289,         1.535647,         0.083647,         0.055948,         1.495100,        -1.372418,         0.598873,        -2.291668,        -0.002237,         0.000988,        -2.263176,         0.227398,         0.175180,         1.298086,         0.006165,         0.055484,         0.111106,         0.919311,         0.030620,        30.023428,         0.022462,         0.032990,         0.680868,         4.869232,         4.852915,         0.016317,         0.307983,         0.921144,         0.139729,         0.000031
    7, 8, 962133.5667, 1943377.8241,         0.647962,         0.981756,         0.660003,        -0.036598,         0.030307,        -1.207591,         0.173814,         0.015819,        10.987447,        -0.035847,         0.017290,        -2.073290,        -0.051069,         0.023115,        -2.209338,        -0.015588,         0.030926,        -0.504057,         1.360815,         0.645763,         2.107299,         0.015247,         0.048907,         0.311763,        -1.065865,         0.367874,        -2.897365,        -0.004852,         0.001070,        -4.533468,         0.075698,         0.086221,         0.877955,         0.113606,         0.041328,         2.748908,         0.893709,         0.034028,        26.263820,         0.015517,         0.033794,         0.459167,         4.920713,         4.945521,        -0.024808,        -0.453333,         0.922236,         0.082237,         0.000037
    8, 9, 962106.2529, 1942949.4875,         0.327164,         1.053914,         0.310428,        -0.044469,         0.030666,        -1.450092,         0.179905,         0.016768,        10.729335,        -0.038259,         0.017932,        -2.133523,        -0.053100,         0.023295,        -2.279471,        -0.010536,         0.032107,        -0.328163,         1.580953,         0.692512,         2.282926,         0.034944,         0.043589,         0.801680,        -1.193348,         0.383405,        -3.112503,        -0.004734,         0.001086,        -4.357980,         0.185224,         0.141845,         1.305825,         0.092548,         0.044757,         2.067799,         0.873997,         0.036439,        23.985278,         0.013417,         0.033834,         0.396558,         4.822889,         4.796671,         0.026218,         0.499931,         0.912839,         0.157137,         0.000092
    9, 10, 960584.4767, 1942901.6994,         2.997332,         1.054008,         2.843746,        -0.128434,         0.032845,        -3.910267,         0.196745,         0.017146,        11.474759,         0.048894,         0.016712,         2.925781,        -0.128750,         0.022460,        -5.732504,        -0.005919,         0.029164,        -0.202962,         0.253240,         0.642458,         0.394173,         0.065819,         0.049663,         1.325323,        -1.629947,         0.782065,        -2.084158,        -0.000190,         0.000894,        -0.213139,         0.247623,         0.159439,         1.553092,        -0.076889,         0.057772,        -1.330909,         0.922086,         0.030142,        30.591878,         0.032582,         0.038601,         0.844068,         5.079181,         5.102852,        -0.023671,        -0.467431,         0.915005,         0.214091,         0.000118
